<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
MM;D;20180129;000000;116.21232876712267;1
MM;D;20180130;000000;116.233561643835;1
MM;D;20180131;000000;116.25479452054734;1
MM;D;20180201;000000;116.27602739725967;1
MM;D;20180202;000000;116.297260273972;1
MM;D;20180205;000000;116.36095890410898;1
MM;D;20180206;000000;116.38219178082132;1
MM;D;20180207;000000;116.40342465753365;1
MM;D;20180208;000000;116.42465753424598;1
MM;D;20180209;000000;116.44589041095831;1
MM;D;20180212;000000;116.50753424657475;1
MM;D;20180213;000000;116.52808219178023;1
MM;D;20180214;000000;116.54863013698571;1
MM;D;20180215;000000;116.56917808219119;1
MM;D;20180216;000000;116.58972602739667;1
MM;D;20180219;000000;116.6513698630131;1
MM;D;20180220;000000;116.67191780821858;1
MM;D;20180221;000000;116.69246575342406;1
MM;D;20180222;000000;116.71301369862954;1
MM;D;20180226;000000;116.79520547945145;1
MM;D;20180227;000000;116.81575342465693;1
MM;D;20180228;000000;116.83630136986241;1
MM;D;20180301;000000;116.85684931506789;1
MM;D;20180302;000000;116.87739726027337;1
MM;D;20180305;000000;116.9390410958898;1
MM;D;20180306;000000;116.95958904109528;1
MM;D;20180307;000000;116.98013698630076;1
MM;D;20180309;000000;117.02123287671172;1
MM;D;20180312;000000;117.08287671232816;1
MM;D;20180313;000000;117.10342465753364;1
MM;D;20180314;000000;117.12397260273912;1
MM;D;20180315;000000;117.1445205479446;1
MM;D;20180316;000000;117.16506849315007;1
MM;D;20180319;000000;117.22671232876651;1
MM;D;20180320;000000;117.24726027397199;1
MM;D;20180321;000000;117.26780821917747;1
MM;D;20180322;000000;117.28835616438295;1
MM;D;20180323;000000;117.30890410958843;1
MM;D;20180326;000000;117.36849315068432;1
MM;D;20180327;000000;117.38835616438294;1
MM;D;20180328;000000;117.40821917808157;1
MM;D;20180329;000000;117.42808219178019;1
MM;D;20180402;000000;117.5075342465747;1
MM;D;20180403;000000;117.52739726027333;1
MM;D;20180404;000000;117.54726027397196;1
MM;D;20180405;000000;117.56712328767058;1
MM;D;20180406;000000;117.58698630136921;1
MM;D;20180409;000000;117.6465753424651;1
MM;D;20180410;000000;117.66643835616372;1
MM;D;20180411;000000;117.68630136986235;1
MM;D;20180412;000000;117.70616438356097;1
MM;D;20180413;000000;117.7260273972596;1
MM;D;20180416;000000;117.78561643835549;1
MM;D;20180417;000000;117.80547945205412;1
MM;D;20180418;000000;117.82534246575274;1
MM;D;20180419;000000;117.84520547945137;1
MM;D;20180420;000000;117.86506849314999;1
MM;D;20180423;000000;117.92465753424588;1
MM;D;20180424;000000;117.9445205479445;1
MM;D;20180425;000000;117.96438356164313;1
MM;D;20180426;000000;117.98424657534176;1
MM;D;20180427;000000;118.00410958904038;1
MM;D;20180430;000000;118.06369863013627;1
MM;D;20180502;000000;118.10342465753354;1
MM;D;20180503;000000;118.12328767123216;1
MM;D;20180504;000000;118.14315068493079;1
MM;D;20180507;000000;118.20273972602668;1
MM;D;20180508;000000;118.2226027397253;1
MM;D;20180510;000000;118.26232876712257;1
MM;D;20180511;000000;118.2821917808212;1
MM;D;20180514;000000;118.34178082191708;1
MM;D;20180515;000000;118.36164383561571;1
MM;D;20180516;000000;118.38150684931433;1
MM;D;20180517;000000;118.40136986301296;1
MM;D;20180518;000000;118.42123287671158;1
MM;D;20180521;000000;118.48082191780748;1
MM;D;20180522;000000;118.5006849315061;1
MM;D;20180523;000000;118.52054794520473;1
MM;D;20180524;000000;118.54041095890335;1
MM;D;20180525;000000;118.56027397260198;1
MM;D;20180528;000000;118.61986301369787;1
MM;D;20180529;000000;118.63972602739649;1
MM;D;20180530;000000;118.65958904109512;1
MM;D;20180531;000000;118.67945205479374;1
MM;D;20180601;000000;118.69931506849237;1
MM;D;20180604;000000;118.75890410958826;1
MM;D;20180605;000000;118.77876712328688;1
MM;D;20180606;000000;118.79863013698551;1
MM;D;20180607;000000;118.81849315068413;1
MM;D;20180608;000000;118.83835616438276;1
MM;D;20180611;000000;118.89794520547865;1
MM;D;20180613;000000;118.93767123287591;1
MM;D;20180614;000000;118.95753424657454;1
MM;D;20180615;000000;118.97739726027316;1
MM;D;20180618;000000;119.03698630136905;1
MM;D;20180619;000000;119.05684931506768;1
MM;D;20180620;000000;119.0767123287663;1
MM;D;20180621;000000;119.09657534246493;1
MM;D;20180622;000000;119.11643835616356;1
MM;D;20180625;000000;119.17602739725945;1
MM;D;20180626;000000;119.19589041095807;1
MM;D;20180627;000000;119.2157534246567;1
MM;D;20180628;000000;119.23561643835532;1
MM;D;20180629;000000;119.25547945205395;1
MM;D;20180702;000000;119.31506849314984;1
MM;D;20180703;000000;119.33493150684846;1
MM;D;20180704;000000;119.35479452054709;1
MM;D;20180705;000000;119.37465753424571;1
MM;D;20180706;000000;119.39452054794434;1
MM;D;20180709;000000;119.45410958904023;1
MM;D;20180710;000000;119.47397260273885;1
MM;D;20180711;000000;119.49383561643748;1
MM;D;20180712;000000;119.5136986301361;1
MM;D;20180713;000000;119.53356164383473;1
MM;D;20180716;000000;119.59315068493062;1
MM;D;20180717;000000;119.61301369862925;1
MM;D;20180718;000000;119.63287671232787;1
MM;D;20180719;000000;119.6527397260265;1
MM;D;20180720;000000;119.67260273972512;1
MM;D;20180723;000000;119.73219178082101;1
MM;D;20180724;000000;119.75205479451964;1
MM;D;20180725;000000;119.77191780821826;1
MM;D;20180726;000000;119.79178082191689;1
MM;D;20180727;000000;119.81164383561551;1
MM;D;20180730;000000;119.8712328767114;1
MM;D;20180731;000000;119.89109589041003;1
MM;D;20180801;000000;119.91095890410865;1
MM;D;20180802;000000;119.93082191780728;1
MM;D;20180803;000000;119.9506849315059;1
MM;D;20180806;000000;120.0102739726018;1
MM;D;20180807;000000;120.03013698630042;1
MM;D;20180808;000000;120.04999999999905;1
MM;D;20180809;000000;120.06986301369767;1
MM;D;20180810;000000;120.0897260273963;1
MM;D;20180813;000000;120.14931506849219;1
MM;D;20180814;000000;120.16917808219081;1
MM;D;20180815;000000;120.18904109588944;1
MM;D;20180816;000000;120.20890410958806;1
MM;D;20180817;000000;120.22876712328669;1
MM;D;20180820;000000;120.28835616438258;1
MM;D;20180821;000000;120.3082191780812;1
MM;D;20180822;000000;120.32808219177983;1
MM;D;20180823;000000;120.34794520547845;1
MM;D;20180824;000000;120.36780821917708;1
MM;D;20180827;000000;120.42739726027297;1
MM;D;20180828;000000;120.4472602739716;1
MM;D;20180829;000000;120.46712328767022;1
MM;D;20180830;000000;120.48698630136884;1
MM;D;20180831;000000;120.50684931506747;1
MM;D;20180903;000000;120.56643835616336;1
MM;D;20180904;000000;120.58630136986199;1
MM;D;20180905;000000;120.60616438356061;1
MM;D;20180906;000000;120.62602739725924;1
MM;D;20180907;000000;120.64589041095786;1
MM;D;20180910;000000;120.70547945205375;1
MM;D;20180911;000000;120.72534246575238;1
MM;D;20180912;000000;120.745205479451;1
MM;D;20180913;000000;120.76506849314963;1
MM;D;20180914;000000;120.78493150684825;1
MM;D;20180917;000000;120.84657534246469;1
MM;D;20180918;000000;120.86712328767017;1
MM;D;20180919;000000;120.88767123287565;1
MM;D;20180920;000000;120.90821917808113;1
MM;D;20180921;000000;120.9287671232866;1
MM;D;20180924;000000;120.99041095890304;1
MM;D;20180925;000000;121.01095890410852;1
MM;D;20180926;000000;121.031506849314;1
MM;D;20180927;000000;121.05205479451948;1
MM;D;20180928;000000;121.07260273972496;1
MM;D;20181001;000000;121.1342465753414;1
